,Chloride,Label,Organic_Carbon,Solids,Sulphate,Turbidity,ph
0,1119.324168,1,178.2530016,526.0513805,305.3910663,1956.909586,2.019601654
1,1036.079757,1,121.9859373,751.9783551,202.9510222,1816.186138,5.979677928
2,1533.371242,1,100.8443698,1940.216276,158.9018259,1850.391669,3.647249157
3,530.0604526,1,169.6850768,1667.346846,312.0757295,677.8412253,5.59885203
4,1633.18696,1,148.4569352,1401.681101,204.9346731,416.1564458,4.234521007
5,556.9017698,1,51.89954461,1649.676462,67.03716035,812.4466158,4.398187702
6,1251.747189,1,190.5647038,1040.663874,319.1202485,625.768117,3.517008918
7,1486.833395,1,77.09454312,1551.116466,228.0124278,1044.893404,2.256972313
8,775.7678431,1,58.315839,510.077986,347.3879959,1058.121153,4.451673817
9,918.2195889,1,58.08012717,946.6593339,371.8896859,20.19358896,3.628819856
10,1615.713748,1,168.2361751,849.8394885,294.870304,777.5923682,2.393374771
11,986.6422557,1,161.6345712,697.1132734,203.0571558,507.6227816,4.250430174
12,860.4870671,1,141.7043504,995.6910461,272.1695415,1655.490558,5.872228808
13,1954.058693,1,120.1682063,706.910008,338.6419841,1536.509144,2.321734653
14,826.4249319,1,195.7663106,941.0919492,212.8479777,395.5223481,3.159738327
15,846.1935381,1,64.14950697,1797.66521,372.305722,1755.251381,3.081599599
16,713.5921777,1,67.6951169,740.6045455,218.5634227,1182.183637,4.410929971
17,538.6065921,1,113.3591975,1952.16088,329.5799547,877.6938078,4.105211058
18,567.8578189,1,178.856714,939.402855,144.4727978,1956.216345,3.366405179
19,955.1678129,1,141.2835872,1462.331409,153.8837927,1932.149742,4.789159308
20,1358.431366,1,106.0601494,1393.753521,248.4521838,298.1415092,5.27506395
21,1803.742074,1,176.5884523,751.9088193,277.0893381,489.1853891,3.194116585
22,549.1995414,1,162.0394365,747.7020442,300.2459087,1640.309688,4.184765523
23,667.121026,1,172.7062035,1896.224481,159.3432516,1023.196409,4.76637298
24,846.9131705,1,172.7988595,1456.417218,271.3430645,1833.594417,5.579020552
25,1801.876523,1,71.10504048,1771.323005,77.98654265,24.23804023,5.872742008
26,1288.33432,1,78.45916575,813.8707154,292.4250267,494.5447881,3.732062726
27,1746.384191,1,127.377924,669.8499117,139.8112276,245.2134938,5.778851875
28,1134.717706,1,130.9561729,1647.92521,129.7127775,656.8903738,2.407588679
29,1650.540896,1,131.0683832,1310.912239,139.0978676,484.6612735,3.025673604
30,1939.585305,1,74.95780165,1905.05663,282.5530183,739.9771068,4.314295359
31,685.9845619,1,109.2756121,973.9287603,381.6388591,1513.782108,5.250231663
32,837.698537,1,137.4564798,520.1436893,22.77009552,1095.805848,3.165860503
33,956.5843259,1,101.4064828,1113.280002,71.24811311,1733.182341,4.847300784
34,755.2467799,1,188.8632096,1008.774043,380.8893133,153.0202241,5.162121363
35,1374.343471,1,180.4701733,903.3705899,203.0584828,853.9971934,2.720992008
